Rat,Day,Liquid,Stimulus,Pokes,Time,Sex
K0,15,Water,During,37,8,Female
K0,15,Water,Before,55,8,Female
K0,16,Sucrose,During,51,8,Female
K0,16,Sucrose,Before,43,8,Female
K0,17,Water,During,32,8,Female
K0,17,Water,Before,14,8,Female
K0,18,Water,During,28,8,Female
K0,18,Water,Before,42,8,Female
K0,19,Sucrose,During,39,8,Female
K0,19,Sucrose,Before,34,8,Female
K0,20,Water,During,58,8,Female
K0,20,Water,Before,39,8,Female
K0,21,Water,During,26,8,Female
K0,21,Water,Before,21,8,Female
K0,22,Sucrose,During,60,8,Female
K0,22,Sucrose,Before,44,8,Female
K0,23,Sucrose,During,69,8,Female
K0,23,Sucrose,Before,58,8,Female
K0,24,Sucrose,During,58,8,Female
K0,24,Sucrose,Before,66,8,Female
K0,25,Water,During,27,8,Female
K0,25,Water,Before,38,8,Female
K0,26,Water,During,49,8,Female
K0,26,Water,Before,60,8,Female
K0,27,Water,During,21,8,Female
K0,27,Water,Before,28,8,Female
K1,15,Sucrose,During,50,7,Female
K1,15,Sucrose,Before,12,7,Female
K1,16,Water,During,13,7,Female
K1,16,Water,Before,1,7,Female
K1,17,Water,During,15,7,Female
K1,17,Water,Before,2,7,Female
K1,18,Sucrose,During,49,7,Female
K1,18,Sucrose,Before,14,7,Female
K1,19,Water,During,16,7,Female
K1,19,Water,Before,7,7,Female
K1,20,Sucrose,During,59,7,Female
K1,20,Sucrose,Before,19,7,Female
K1,21,Water,During,40,7,Female
K1,21,Water,Before,5,7,Female
K1,22,Water,During,43,7,Female
K1,22,Water,Before,17,7,Female
K1,23,Sucrose,During,29,7,Female
K1,23,Sucrose,Before,15,7,Female
K1,24,Sucrose,During,73,7,Female
K1,24,Sucrose,Before,22,7,Female
K1,25,Water,During,49,7,Female
K1,25,Water,Before,32,7,Female
K1,26,Sucrose,During,39,7,Female
K1,26,Sucrose,Before,20,7,Female
K1,27,Water,During,29,7,Female
K1,27,Water,Before,14,7,Female
K2,15,Water,During,16,9,Female
K2,15,Water,Before,14,9,Female
K2,16,Sucrose,During,43,9,Female
K2,16,Sucrose,Before,17,9,Female
K2,17,Water,During,10,9,Female
K2,17,Water,Before,5,9,Female
K2,18,Sucrose,During,62,9,Female
K2,18,Sucrose,Before,40,9,Female
K2,19,Sucrose,During,31,9,Female
K2,19,Sucrose,Before,13,9,Female
K2,20,Water,During,57,9,Female
K2,20,Water,Before,11,9,Female
K2,21,Water,During,23,9,Female
K2,21,Water,Before,12,9,Female
K2,22,Sucrose,During,35,9,Female
K2,22,Sucrose,Before,22,9,Female
K2,23,Sucrose,During,78,9,Female
K2,23,Sucrose,Before,15,9,Female
